"Metabolite","Sequence","Location","Field","Mean_CV_tCr","Mean_CV_tissue"
"Mac","steam","ul",3,3.61850408988078,2.85458629072243
"Mac","steam","ll",3,11.3258252782372,9.76919493689734
"Mac","steam","ul",7,NA,NA
"Mac","steam","ll",7,NA,NA
"Mac","slaser","ul",3,13.0364541495088,23.0520183086726
"Mac","slaser","ll",3,6.41770321260292,21.0409200224257
"Mac","slaser","ul",7,3.15660561158722,3.28270560294101
"Mac","slaser","ll",7,2.3550112708615,2.51674679643352
"Asp","steam","ul",3,10.4038144071025,10.15447988368
"Asp","steam","ll",3,19.5320605783624,17.2445451155706
"Asp","steam","ul",7,NA,NA
"Asp","steam","ll",7,41.1785691187935,37.7729155682395
"Asp","slaser","ul",3,10.8676362978675,14.5397726256796
"Asp","slaser","ll",3,7.61052604899517,6.65106083696283
"Asp","slaser","ul",7,NA,NA
"Asp","slaser","ll",7,NA,NA
"GPC","steam","ul",3,4.00099788338761,4.56349171317737
"GPC","steam","ll",3,3.26027785593902,4.91177626025924
"GPC","steam","ul",7,4.2021313922066,3.98239064754698
"GPC","steam","ll",7,4.92298626524168,5.64972082630274
"GPC","slaser","ul",3,15.9612478854825,13.5860992428555
"GPC","slaser","ll",3,2.4177889683055,2.952664728788
"GPC","slaser","ul",7,8.79878262378139,6.86117245770533
"GPC","slaser","ll",7,3.49859040223059,2.77152503381899
"Cr","steam","ul",3,4.24797189767587,5.43532202882939
"Cr","steam","ll",3,4.24078901707936,4.90805033062238
"Cr","steam","ul",7,3.2139798222449,3.97763108876301
"Cr","steam","ll",7,12.1309450547154,10.312474286833
"Cr","slaser","ul",3,4.3367089862155,3.17497524889699
"Cr","slaser","ll",3,2.71963598223419,4.42765232915612
"Cr","slaser","ul",7,3.13737603582471,3.7480260736314
"Cr","slaser","ll",7,3.10441336319085,3.59356911344557
"PCr","steam","ul",3,5.86771403413237,4.9699794762133
"PCr","steam","ll",3,6.32974700432811,9.35365007040225
"PCr","steam","ul",7,3.48402916144274,3.32133162854987
"PCr","steam","ll",7,5.47672279463143,7.72530946763941
"PCr","slaser","ul",3,7.09012003076927,7.37022703237003
"PCr","slaser","ll",3,2.81592583442764,4.92826393676781
"PCr","slaser","ul",7,2.99312502686993,3.21696224808285
"PCr","slaser","ll",7,3.62137866011549,3.91907781762917
"GABA","steam","ul",3,16.9103221950605,18.0992127041883
"GABA","steam","ll",3,47.4120274621939,43.4037666200224
"GABA","steam","ul",7,19.9818560395648,23.0676974431523
"GABA","steam","ll",7,31.4343332863964,30.135114931209
"GABA","slaser","ul",3,NA,NA
"GABA","slaser","ll",3,NA,NA
"GABA","slaser","ul",7,5.83753750813394,8.18246452200939
"GABA","slaser","ll",7,24.6002720335368,21.7144701403294
"Glc","steam","ul",3,20.9595958605015,21.1989320227151
"Glc","steam","ll",3,18.9596301232971,22.9598067536805
"Glc","steam","ul",7,NA,NA
"Glc","steam","ll",7,NA,NA
"Glc","slaser","ul",3,13.2559330266053,7.82396215066025
"Glc","slaser","ll",3,22.7230074282958,23.8905606355602
"Glc","slaser","ul",7,NA,NA
"Glc","slaser","ll",7,NA,NA
"Gln","steam","ul",3,16.6326420786158,17.3824487419139
"Gln","steam","ll",3,20.5793097681477,19.4478452945761
"Gln","steam","ul",7,10.7032262778598,10.6267704218526
"Gln","steam","ll",7,25.1411513470905,24.0550394264514
"Gln","slaser","ul",3,13.5820132512457,9.6230105245351
"Gln","slaser","ll",3,3.16931000799246,9.41490521998426
"Gln","slaser","ul",7,5.71108608394475,6.71194457155216
"Gln","slaser","ll",7,11.2141270164783,12.8241600906556
"Glu","steam","ul",3,5.83561799226101,6.52587513649997
"Glu","steam","ll",3,8.9918850781122,6.64125466998723
"Glu","steam","ul",7,5.313117293981,5.92593140030184
"Glu","steam","ll",7,8.97909898452492,8.35584711960867
"Glu","slaser","ul",3,7.91975684024625,3.35380325546837
"Glu","slaser","ll",3,6.24355951272285,3.29517007903545
"Glu","slaser","ul",7,2.13139508220426,2.85095531185838
"Glu","slaser","ll",7,2.52985936852158,1.77754251029415
"GSH","steam","ul",3,4.84749828656993,4.05067372061625
"GSH","steam","ll",3,10.9846384682779,11.5295531456102
"GSH","steam","ul",7,16.9692152762895,18.0963561727287
"GSH","steam","ll",7,10.6666256442115,11.6300764274333
"GSH","slaser","ul",3,14.9154903763827,3.68544731451578
"GSH","slaser","ll",3,15.6136549510505,17.4659084736884
"GSH","slaser","ul",7,3.84900819740138,5.48489496073152
"GSH","slaser","ll",7,6.45477187283399,6.0899093093591
"Ins","steam","ul",3,2.6135839568907,2.37216239644114
"Ins","steam","ll",3,2.48620376003808,6.26670681746186
"Ins","steam","ul",7,1.70354242206741,1.25617740047193
"Ins","steam","ll",7,4.24678729408211,3.53712822927351
"Ins","slaser","ul",3,4.69163921351713,2.86388980986323
"Ins","slaser","ll",3,1.8244838067114,4.18559254656634
"Ins","slaser","ul",7,2.55778561864795,3.45676705105653
"Ins","slaser","ll",7,1.29387486770866,2.66155520982496
"NAA","steam","ul",3,1.81985584906373,1.63703628553235
"NAA","steam","ll",3,2.74848495691928,4.32666239571601
"NAA","steam","ul",7,2.39567805219886,2.76155408346868
"NAA","steam","ll",7,8.53508369270323,10.9524502841776
"NAA","slaser","ul",3,1.20651274608256,4.21728635887108
"NAA","slaser","ll",3,2.23605572379168,4.31917805952024
"NAA","slaser","ul",7,1.62036450629586,2.17284741241837
"NAA","slaser","ll",7,2.84807492329579,1.43506031046964
"NAAG","steam","ul",3,15.1920293540389,15.1014261976934
"NAAG","steam","ll",3,21.5672252424363,18.5896250463039
"NAAG","steam","ul",7,4.73037334399385,5.72177139521538
"NAAG","steam","ll",7,18.4405864984165,16.0115482894889
"NAAG","slaser","ul",3,24.435889745541,24.9751642498026
"NAAG","slaser","ll",3,15.5468033928211,17.5260959024314
"NAAG","slaser","ul",7,7.71011223566287,6.67509148104646
"NAAG","slaser","ll",7,6.67338277039077,7.16050247030289
"sIns","steam","ul",3,17.7627319832343,16.9060928881884
"sIns","steam","ll",3,15.5446301129157,18.5721542375146
"sIns","steam","ul",7,9.18624654638862,9.21067006724391
"sIns","steam","ll",7,17.6305268349475,16.8364397312752
"sIns","slaser","ul",3,23.3532116261778,27.6473942007735
"sIns","slaser","ll",3,9.51615804539609,10.6084891685385
"sIns","slaser","ul",7,16.8039089324596,17.8404506366221
"sIns","slaser","ll",7,13.4069042363559,14.3109409866183
"Tau","steam","ul",3,7.87020120231036,7.1315647828367
"Tau","steam","ll",3,8.40897029225967,5.49960124511819
"Tau","steam","ul",7,5.09798975085373,3.79882590382405
"Tau","steam","ll",7,3.88034377646989,2.91732761758683
"Tau","slaser","ul",3,28.9120756392548,27.3475119404538
"Tau","slaser","ll",3,19.07105958054,18.0275733577584
"Tau","slaser","ul",7,9.81151081530614,9.54248192030972
"Tau","slaser","ll",7,9.7490369392576,7.56253769046215
"Cr_PCr","steam","ul",3,0,1.54663151658359
"Cr_PCr","steam","ll",3,0,3.83646251933439
"Cr_PCr","steam","ul",7,0,1.43231401971729
"Cr_PCr","steam","ll",7,0,2.58152213354522
"Cr_PCr","slaser","ul",3,0,3.10065186516087
"Cr_PCr","slaser","ll",3,0,1.91063941608691
"Cr_PCr","slaser","ul",7,0,2.12311009483113
"Cr_PCr","slaser","ll",7,0,2.69133900680388
"NAA_NAAG","steam","ul",3,2.00387445153321,2.3681096561852
"NAA_NAAG","steam","ll",3,5.49851608858986,4.79982182290138
"NAA_NAAG","steam","ul",7,2.75045411140972,3.25817967269948
"NAA_NAAG","steam","ll",7,4.17567427747539,4.73519543701986
"NAA_NAAG","slaser","ul",3,1.24241614401806,1.42915722947255
"NAA_NAAG","slaser","ll",3,1.80276611550863,1.2677083861077
"NAA_NAAG","slaser","ul",7,0.40917433022207,1.0377555248248
"NAA_NAAG","slaser","ll",7,2.20619169952032,1.78049199817257
"Glu_Gln","steam","ul",3,7.74583401174219,8.4853145191028
"Glu_Gln","steam","ll",3,11.4054193829872,9.28476866187424
"Glu_Gln","steam","ul",7,5.83637060588465,6.45026848566402
"Glu_Gln","steam","ll",7,11.985105909523,1.26997352011181
"Glu_Gln","slaser","ul",3,2.26396648518423,1.61971166966579
"Glu_Gln","slaser","ll",3,3.63723498503659,1.95509059568007
"Glu_Gln","slaser","ul",7,2.68532219633334,3.70150476665902
"Glu_Gln","slaser","ll",7,2.49880349319584,3.74110488527763
"PCho_GPC","steam","ul",3,2.97989632870447,3.00294930163101
"PCho_GPC","steam","ll",3,2.28333284802156,5.48232679865409
"PCho_GPC","steam","ul",7,7.65066809314393,8.00401828297115
"PCho_GPC","steam","ll",7,4.66543145864654,2.4591984816139
"PCho_GPC","slaser","ul",3,5.8727593160706,3.89008163842327
"PCho_GPC","slaser","ll",3,2.43524731596461,3.01789589364853
"PCho_GPC","slaser","ul",7,5.12379241424763,3.30260751060288
"PCho_GPC","slaser","ll",7,4.23049089569852,3.41248442924705
"Asc","steam","ul",3,9.70467544133513,11.3000350876057
"Asc","steam","ll",3,12.8641333842276,14.2663629746994
"Asc","steam","ul",7,17.864393781304,17.2351050070476
"Asc","steam","ll",7,4.21256658227677,4.42392619827357
"Asc","slaser","ul",3,13.0598581333389,25.9992834823821
"Asc","slaser","ll",3,7.5768980493344,11.6014209777192
"Asc","slaser","ul",7,10.2494166338606,9.17490479375849
"Asc","slaser","ll",7,9.73180068755378,11.8105383982144
"PE","steam","ul",3,21.2437885587153,20.7141001283454
"PE","steam","ll",3,NA,NA
"PE","steam","ul",7,23.2553642296891,21.855858843861
"PE","steam","ll",7,NA,NA
"PE","slaser","ul",3,16.9918697345041,12.9373508007966
"PE","slaser","ll",3,8.66477256481312,5.94231291224865
"PE","slaser","ul",7,48.9713984693587,23.1452895589166
"PE","slaser","ll",7,8.51613854368722,8.83115831767201
"PCho","steam","ul",3,NA,NA
"PCho","steam","ll",3,NA,NA
"PCho","steam","ul",7,11.9032246211693,13.1752000239639
"PCho","steam","ll",7,29.9717783669209,27.264611378256
"PCho","slaser","ul",3,19.7785528585155,19.1655767430689
"PCho","slaser","ll",3,NA,NA
"PCho","slaser","ul",7,9.4885338367443,7.9722857051177
"PCho","slaser","ll",7,14.3495501036061,15.0362309244955
"MacY","steam","ul",3,NA,NA
"MacY","steam","ll",3,NA,NA
"MacY","steam","ul",7,7.67810725493991,7.17215036155299
"MacY","steam","ll",7,18.7529112096986,18.7982507501227
"MacY","slaser","ul",3,NA,NA
"MacY","slaser","ll",3,NA,NA
"MacY","slaser","ul",7,NA,NA
"MacY","slaser","ll",7,NA,NA
"Lac","steam","ul",3,NA,NA
"Lac","steam","ll",3,NA,NA
"Lac","steam","ul",7,19.1344950787874,18.3926668752984
"Lac","steam","ll",7,10.9404927859406,13.1217588166526
"Lac","slaser","ul",3,NA,NA
"Lac","slaser","ll",3,NA,NA
"Lac","slaser","ul",7,19.0620085216512,20.1922427875397
"Lac","slaser","ll",7,27.0263770847955,27.671554694889
"Ala","steam","ul",3,NA,NA
"Ala","steam","ll",3,NA,NA
"Ala","steam","ul",7,31.8830615687968,30.871533987495
"Ala","steam","ll",7,NA,NA
"Ala","slaser","ul",3,NA,NA
"Ala","slaser","ll",3,NA,NA
"Ala","slaser","ul",7,43.6505722599003,43.2159497185698
"Ala","slaser","ll",7,81.6981460784209,78.6785916591217
